sample	lineage
MW164658|13pool5009|culex_pipiens|IT|2013-07-31	A.0.2
MW164670|13pool6472|culex_pipiens|IT|2013-09-05	A.0.2
MW164741|18pool1263|culex_pipiens|IT|2018-07-19	A.0.2
MW164688|15pool1426|culex_pipiens|IT|2015-08-06	A.0.2
MW164724|17pool1709|culex_pipiens|IT|2017-08-17	A.0.2
OR921098|2023TE1683511|columba_palumbus|IT|2023-08-23	A.0.6
PV501207|265|culex_sp|HU|2024-07-21	A.0.5
PV501206|205|culex_sp|HU|2024-07-21	A.0.5
PV501212|416|culex_sp|HU|2024-07-31	A.0.10
PV501210|406|culex_sp|HU|2024-08-24	A.0.10
PV501211|412|culex_sp|HU|2024-08-07	A.0.10
PV501208|296|culex_sp|HU|2024-08-02	A.0.10
NA|23VIR9300|turdus_merula|IT|2023-10-01	A.0.3
MW164769|18pool948|culex_pipiens|IT|2018-07-06	A.0.0
MW164713|17pool1488|culex_pipiens|IT|2017-08-02	A.0.0
MW164717|17pool1609|culex_pipiens|IT|2017-08-16	A.0.0
MW164704|16pool2311|culex_pipiens|IT|2016-08-24	A.0.0
MK230892|Richelle/2017|turdus_merula|BE|2017-08	A.1
KJ438715|NA|passer_domesticus|DE|2011-09-19	A.1
KJ438740|NA|turdus_merula|DE|2011-09-16	A.1
MW164668|13pool6465|culex_pipiens|IT|2013-09-05	A.0.2
MW164663|13pool5778|culex_pipiens|IT|2013-08-13	A.0.2
MW164669|13pool6471|culex_pipiens|IT|2013-09-05	A.0.2
MW164672|14pool1388|culex_pipiens|IT|2014-08-22	A.0.2
OR921094|2023TE1640011|culex_pipiens|IT|2023-08-11	A.0.6
OR921097|2023TE1640411|culex_pipiens|IT|2023-08-11	A.0.6
OR921102|2023TE1908911|culex_pipiens|IT|2023-09-15	A.0.1
NA|23pool2067_23RS1943-143|culex_pipiens|IT|2023-08-24	A.0.3
NA|22VIR7086-3|turdus_merula|IT|2022-07-18	A.0.3
NA|23pool1901_23RS1909-300|culex_pipiens|IT|2023-08-16	A.0.3
NA|23VIR8708|columbidae_sp|IT|2023-09-01	A.0.3
MW164757|18pool1614|culex_pipiens|IT|2018-08-09	A.0.0
MW164732|18pool108G|culex_pipiens|IT|2018-09-06	A.0.0
MW164750|18pool1509|culex_pipiens|IT|2018-07-31	A.0.0
MW164735|18pool1163|culex_pipiens|IT|2018-07-17	A.0.0
MW164693|15pool1939|culex_pipiens|IT|2015-09-21	A.0.0
MW164681|14pool1703|culex_pipiens|IT|2014-09-23	A.0.0
MW164743|18pool1267|culex_pipiens|IT|2018-07-19	A.0.0
MW164692|15pool1759|culex_pipiens|IT|2015-09-02	A.0.0
MN122152|AS201600060|turdus_merula|NL|2016-09-12	A.1.0
MN122171|AS201600203|turdus_merula|NL|2016-10-05	A.1
KJ438717|NA|turdus_merula|DE|2012-08-23	A.1
KJ438716|NA|culex_pipiens|DE|2012-07-09	A.1
MK796169|AS201600083|strix_nebulosa|NL|2016-09-20	A.1
KJ438755|NA|turdidae_sp|DE|2011-09-15	A.1
KJ438709|NA|culex_pipiens|DE|2012-08-15	A.1
KY501101|NA|homo_sapiens|DE|2016-09-26	A.1
MW164679|14pool1511|culex_pipiens|IT|2014-09-03	A.0.2
MW164678|14pool1494|culex_pipiens|IT|2014-09-02	A.0.2
OR921105|2023TE1839111|phoenicurus_phoenicurus|IT|2023-09-08	A.0.1
PP104391|TE2518912|turdus_merula|IT|2023-09-07	A.0.1
ON032487|ITA2021_299813|turdus_merula|IT|2021	A.0.1
ON813234|ITA2021_299815|turdus_merula|IT|2021	A.0.1
OR921096|2023TE1822511|turdus_merula|IT|2023-09-07	A.0.3
PP104385|TE2518212|culex_pipiens|IT|2023-09-22	A.0.3
MW164694|15VIR4781-31|turdus_iliacus|IT|2015-09-15	A.0.0
MW164691|15pool1751|culex_pipiens|IT|2015-09-02	A.0.0
MW164697|16pool1634|culex_pipiens|IT|2016-07-20	A.0.0
MW164690|15pool1564|culex_pipiens|IT|2015-08-17	A.0.0
MN122203|AS201700127|turdus_merula|NL|2017-07-30	A.1.0
MN122196|AS201700103|turdus_merula|NL|2017-07-19	A.1.0
KY426755|NA|turdus_merula|DE|2016-09-19	A.1.0
KY426756|NA|turdus_merula|DE|2016-09-23	A.1.0
MN122170|AS201600197|turdus_merula|NL|2016-10-11	A.1.5
MN122181|AS201600277|turdus_merula|NL|2016-09-27	A.1.6
KJ438756|NA|turdus_merula|DE|2011-09-26	A.1
KJ438712|NA|turdus_merula|DE|2011-09-19	A.1
KJ438742|NA|turdus_merula|DE|2013-09-23	A.1
KJ438749|NA|turdus_merula|DE|2012-07-18	A.1
KJ438736|NA|culex_sp|DE|2012-09-01	A.1
KJ438751|NA|turdus_merula|DE|2011-09-15	A.1
MW164685|15pool1187|culex_pipiens|IT|2015-07-22	A.0.2
OP734245|NA|culex_pipiens|IT|2022-07-01	A.0.1
OP734247|NA|culex_pipiens|IT|2022-07-29	A.0.3
OR921100|2023TE1837011|culex_pipiens|IT|2023-09-08	A.0.3
OR921101|2023TE1838411|culex_pipiens|IT|2023-09-08	A.0.3
MW164706|16pool2355|culex_pipiens|IT|2016-08-29	A.0.0
MW164700|16pool1870|culex_pipiens|IT|2016-08-01	A.0.0
MW164749|18pool1506|culex_pipiens|IT|2018-07-31	A.0.0
MK230890|Villers/2017|turdus_merula|BE|2017-08	A.1.0
MN122176|AS201600247|turdus_merula|NL|2016-09-30	A.1.5
MN122154|AS201600089|turdus_merula|NL|2016-09-20	A.1.5
MN122179|AS201600268|turdus_merula|NL|2016-09-30	A.1.6
MN122172|AS201600221|turdus_merula|NL|2016-09-22	A.1.6
KJ438764|NA|turdus_merula|DE|2012-07-17	A.1.4
KJ438733|NA|turdus_merula|DE|2012-09-13	A.1
KJ438738|NA|turdus_merula|DE|2011-09-16	A.1
MW164720|17pool1653|culex_pipiens|IT|2017-08-16	A.0.2
MW164714|17pool1493|culex_pipiens|IT|2017-08-02	A.0.2
MW164711|17pool1252|culex_pipiens|IT|2017-07-19	A.0.2
PP104386|TE2518312|culex_pipiens|IT|2023-09-08	A.0.1
OR921099|2023TE1908111|turdus_merula|IT|2023-09-15	A.0.1
ON032485|ITA2021_302331|turdus_merula|IT|2021	A.0.1
ON032486|ITA2021_310782|turdus_merula|IT|2021	A.0.1
OR757488|1572124|culex_pipiens|IT|2023-07-06	A.0.3
MW164770|18VIR7808-6|ciconia_ciconia|IT|2018-09-07	A.0.0
MW164701|16pool2021|culex_pipiens|IT|2016-08-08	A.0.0
MW164731|18pool1018|culex_pipiens|IT|2018-07-10	A.0.0
MW164761|18pool1662|culex_pipiens|IT|2018-08-14	A.0.0
MN122174|AS201600241|turdus_merula|NL|2016-09-27	A.1.0
MN122192|AS201700086|turdus_merula|NL|2017-07-11	A.1.0
KJ438724|NA|turdus_merula|DE|2011-09-19	A.1.2
KJ438723|NA|turdus_merula|DE|2011-09-11	A.1.2
KJ438727|NA|turdus_merula|DE|2011-09-21	A.1.2
KY426768|NA|turdus_merula|DE|2016-10-12	A.1
KY426767|NA|turdus_merula|DE|2016-10-14	A.1
KJ438754|NA|turdus_merula|DE|2012-09-18	A.1
MW164771|18VIR7859-4|turdus_merula|IT|2018-09-07	A.0.2
MW164708|17pool103G|culex_pipiens|IT|2017-08-30	A.0.2
MW164733|18pool1124|culex_pipiens|IT|2018-07-12	A.0.2
PP104389|TE2518712|culex_pipiens|IT|2023-09-22	A.0.3
OR921106|2023TE1699411|culex_pipiens|IT|2023-08-24	A.0.3
MW164725|17pool1729|culex_pipiens|IT|2017-08-21	A.0.0
MW164710|17pool1250|culex_pipiens|IT|2017-07-19	A.0.0
MW164722|17pool1671|culex_pipiens|IT|2017-08-16	A.0.0
OP734256|NA|culex_pipiens|IT|2022-07-29	A.0.0
MW164709|17pool1191|culex_pipiens|IT|2017-07-17	A.0.0
MW164748|18pool1442|culex_pipiens|IT|2018-07-31	A.0.0
MW164729|17VIR8655-3|larus_michahellis|IT|2017-09-18	A.0.0
MW164703|16pool2117|culex_pipiens|IT|2016-08-16	A.0.0
MN122189|AS201700077|turdus_merula|NL|2017-07-03	A.1.0
MN122188|AS201700024|turdus_merula|NL|2017-04-11	A.1.0
KY263626|NA|turdus_merula|BE|2016-09	A.1.0
KX977447|NA|turdus_merula|BE|2016-09	A.1.0
OP555958|NA|turdus_merula|BE|2017-08-07	A.1.0
MN122158|AS201600104|turdus_merula|NL|2016-09-22	A.1.0
KX601691|USUV-HautRhin7316/France/2015|turdus_merula|FR|2015-08-05	A.1.4
KJ438729|NA|turdus_merula|DE|2012-07-18	A.1.4
KJ438766|NA|turdus_merula|DE|2012-09-19	A.1.4
KJ438728|NA|turdus_merula|DE|2011-09-26	A.1.4
KJ438726|NA|turdus_merula|DE|2011-09-15	A.1.2
KJ438725|NA|turdus_merula|DE|2011-09-14	A.1.2
MW164753|18pool1523|culex_pipiens|IT|2018-08-02	A.0.2
MW164707|16pool2571|culex_pipiens|IT|2016-09-14	A.0.2
ON032481|ITA2021_302715|turdus_merula|IT|2021-09-02	A.0.1
OP734259|NA|culex_pipiens|IT|2022-07-25	A.0.1
ON813235|ITA2021_300240|turdus_merula|IT|2021	A.0.1
ON032480|ITA2021_305818|turdus_merula|IT|2021-09-30	A.0.1
MW164728|17VIR7838-4|turdus_merula|IT|2017-08-30	A.0.0
MW164727|17VIR7761-4|sturnus_vulgaris|IT|2017-09-01	A.0.0
NA|23pool2138_23RS2497-1|culex_pipiens|IT|2023-11-13	A.0.0
OP734246|NA|culex_pipiens|IT|2022-07-29	A.0.0
MW164760|18pool1660|culex_pipiens|IT|2018-08-14	A.0.0
MW164734|18pool1141|culex_pipiens|IT|2018-07-17	A.0.0
NA|18TV0937|turdus_merula|NL|2018-09-10	A.1.0
NA|17TV1446|turdus_merula|NL|2017-09-07	A.1.0
MN122177|AS201600253|turdus_merula|NL|2016-09-27	A.1.0
MN122235|AS201800112|turdus_merula|NL|2018-08-14	A.1.0
NA|20TV2299|turdus_merula|NL|2020-08-29	A.1.3
MN122198|AS201700109|turdus_merula|NL|2017-07-25	A.1.3
MW164762|18pool1712|culex_pipiens|IT|2018-08-17	A.0.2
NA|20VIR4811|serinus_canaria|IT|2020-08-10	A.0.2
MW164758|18pool1617|culex_pipiens|IT|2018-08-09	A.0.2
MW164744|18pool1347|culex_pipiens|IT|2018-07-24	A.0.2
MW164755|18pool1575|culex_pipiens|IT|2018-08-07	A.0.2
MW164736|18pool1219|culex_pipiens|IT|2018-07-17	A.0.2
ON032484|ITA2021_305812|columba_palumbus|IT|2021-09-10	A.0.1
ON032483|ITA2021_301597|turdus_merula|IT|2021-08-19	A.0.1
ON032476|ITA2020_155885|turdus_merula|IT|2020	A.0.1
OP734261|NA|culex_pipiens|IT|2022-07-08	A.0.1
NA|23VIR8795|turdus_merula|IT|2023-08-23	A.0.0
MW164715|17pool1525|culex_pipiens|IT|2017-08-07	A.0.0
MN122229|AS201800097|turdus_merula|NL|2018-08-03	A.1.3
MT580899|NA|strix_nebulosa|DE|2018	A.1.3
KY263624|NA|turdus_merula|BE|2016-10	A.1.3
OP555957|NA|turdus_merula|BE|2017-07-24	A.1.3
MW164719|17pool1647|culex_pipiens|IT|2017-08-16	A.0.2
ON032475|ITA2020_123828|muscicapa_striata|IT|2020	A.0.1
ON032474|ITA2020_115108|culex_pipiens|IT|2020	A.0.1
OP734253|NA|culex_pipiens|IT|2022-08-05	A.0.1
OP734250|NA|culex_pipiens|IT|2022-07-29	A.0.1
OR921095|2023TE1639211|culex_pipiens|IT|2023-08-11	A.0.1
OP734257|NA|culex_pipiens|IT|2022-07-22	A.0.1
PP104384|TE2518112|culex_pipiens|IT|2023-09-22	A.0.1
OR921103|2023TE1683411|culex_pipiens|IT|2023-08-11	A.0.1
NA|23pool1280_23RS1633-583|culex_pipiens|IT|2023-07-05	A.0.0
MW164747|18pool1430|culex_pipiens|IT|2018-07-31	A.0.0
MW164745|18pool1398|culex_pipiens|IT|2018-07-26	A.0.2
MW164764|18pool1795|culex_pipiens|IT|2018-08-23	A.0.2
MW164756|18pool1610|culex_pipiens|IT|2018-08-09	A.0.2
MW164768|18pool78G|culex_pipiens|IT|2018-08-09	A.0.2
MW164751|18pool1519|culex_pipiens|IT|2018-08-02	A.0.2
PP104390|TE2518812|columbidae_sp|IT|2023-08-25	A.0.0
OR757489|1572126|culex_pipiens|IT|2023-07-07	A.0.0
OP734248|NA|culex_pipiens|IT|2022-07-29	A.0.0
MW164752|18pool1522|culex_pipiens|IT|2018-08-02	A.0.2
MW164712|17pool1309|culex_pipiens|IT|2017-07-24	A.0.0
MW164767|18pool2042|culex_pipiens|IT|2018-09-13	A.0.2
MW164740|18pool1262|culex_pipiens|IT|2018-07-19	A.0.2
MW164723|17pool1688|culex_pipiens|IT|2017-08-16	A.0.0
MW164716|17pool1544|culex_pipiens|IT|2017-08-07	A.0.0
MW164766|18pool1965|culex_pipiens|IT|2018-09-06	A.0.0
MW164746|18pool1405|culex_pipiens|IT|2018-07-26	A.0.0
MW164759|18pool1649|culex_pipiens|IT|2018-08-14	A.0.0
MW164754|18pool1556|culex_pipiens|IT|2018-08-07	A.0.0
MW164730|18pool1009|culex_pipiens|IT|2018-07-10	A.0.0
MN122151|AS201600057|turdus_merula|NL|2016-09-08	B
KY263625|NA|turdus_merula|BE|2016-10	B
MN122178|AS201600265|turdus_merula|NL|2016-09-30	B
MN122232|AS201800101|turdus_merula|NL|2018-08-07	B.4
MN122231|AS201800100|turdus_merula|NL|2018-08-07	B.4
MN122182|AS201600280|turdus_merula|NL|2016-09-26	B.4
KY426765|NA|turdus_merula|DE|2016-09-30	B
NA|21TV5071|turdus_merula|NL|2022-07-29	B.5
NA|AS20221851|turdus_merula|NL|2022-09-03	B.5
MN122212|AS201700189|turdus_merula|NL|2017-09-14	B.5
MN122157|AS201600101|turdus_merula|NL|2016-09-22	B.5
NA|AS20221780|turdus_merula|NL|2022-08-26	B.1
KY426757|NA|turdus_merula|DE|2016-09-23	B.1
KY426754|NA|turdus_merula|DE|2015-09-09	B.1
