sequence_accession,lineage,sublineage
MN122228,Africa 3,Africa 3.3
MN122229,Europe 3,
MN122230,Africa 3,Africa 3.2
MN122231,Africa 3,Africa 3.2
MN122232,Africa 3,Africa 3.2
MN122233,Africa 3,Africa 3.2
MN122234,Africa 3,Africa 3.3
MN122235,Europe 3,
MN122236,Africa 3,Africa 3.2
MN122237,Africa 3,Africa 3.3
MN122238,Africa 3,Africa 3.1
MN122239,Africa 3,Africa 3.3
MN122240,Africa 3,Africa 3.2
MN122241,Africa 3,Africa 3.3
MN122242,Africa 3,Africa 3.3
MN122243,Africa 3,Africa 3.3
MN122244,Africa 3,Africa 3.2
MN122245,Africa 3,Africa 3.2
MN122246,Africa 3,Africa 3.2
MN122247,Africa 3,Africa 3.3
MN122248,Africa 3,Africa 3.3
MN122249,Africa 3,Africa 3.2
MN122250,Africa 3,Africa 3.3
MN122251,Africa 3,Africa 3.3
MN122252,Africa 3,Africa 3.3
MN122253,Africa 3,Africa 3.3
MN122254,Africa 3,Africa 3.2
MN122255,Africa 3,Africa 3.3
MN122256,Africa 3,Africa 3.3
MZ560931,Africa 3,
MZ754004,Africa 3,
MZ754005,Africa 3,
MZ754006,Europe 2,
MZ754007,Africa 3,
MZ754008,Europe 3,
MZ754009,Africa 3,
MZ754010,Europe 3,
MZ754011,Europe 3,
MZ754012,Europe 2,
MZ754013,Africa 3,
MZ754014,Africa 3,
MZ754015,Africa 3,
MZ754017,Africa 3,
MZ754018,Africa 3,
MZ754019,Europe 3,
MZ754020,Africa 3,
MZ754021,Africa 3,
MZ754022,Africa 3,
MZ754023,Africa 3,
MZ754024,Africa 3,
MZ754025,Africa 3,
MZ754026,Africa 3,
MZ754027,Africa 3,
MZ754028,Europe 2,
MZ754029,Europe 2,
MZ754030,Europe 2,
MZ754031,Europe 2,
MZ754032,Africa 3,
MZ754033,Africa 3,
MZ754034,Europe 3,
MZ754035,Africa 3,
MZ754036,Europe 3,
MZ754037,Africa 3,
MZ754038,Europe 3,
MZ754039,Africa 3,
MZ754040,Europe 3,
MZ754041,Africa 3,
MZ754042,Africa 3,
MZ754043,Europe 3,
MZ754044,Africa 3,
MZ754045,Europe 2,
MZ754047,Europe 3,
MZ754048,Europe 3,
MZ754049,Europe 3,
MZ754050,Europe 2,
MZ754051,Europe 3,
MZ754052,Europe 3,
MZ754053,Africa 3,
MZ754054,Africa 3,
MZ754055,Europe 3,
MZ754056,Africa 3,
MZ754057,Africa 3,
MZ754058,Europe 2,
MZ754059,Europe 3,
MZ754060,Africa 3,
MZ754061,Europe 2,
MZ779075,Africa 3,
MZ779076,Africa 3,
OP422562,Africa 3,
OP422563,Europe 3,
OP422564,Europe 2,
OP422565,Africa 3,
OR141529,Europe 3,
OR141530,Africa 3,
OR141531,Africa 3,
OR141532,Europe 3,
OR141533,Africa 3,
OR141534,Africa 3,
OR141535,Europe 3,
OR141536,Europe 3,
OR141537,Europe 3,
OR141538,Europe 3,
OR141539,Africa 3,
OR141540,Africa 3,
OR141541,Europe 3,
OR141542,Europe 3,
OR141543,Africa 3,
OR141544,Europe 3,
OR141545,Africa 3,
OR141546,Africa 3,
OR141547,Africa 3,
OR141548,Africa 3,
OR141549,Africa 3,
OR141550,Africa 3,
OR141551,Africa 3,
OR141552,Africa 3,
OR141553,Africa 3,
OR141554,Africa 3,
OR141555,Africa 3,
OR141556,Africa 3,
OR141557,Africa 3,
OR141558,Africa 3,
OR141559,Africa 3,
OR141560,Africa 3,
OR141561,Africa 3,
OR141562,Africa 3,
OR141563,Africa 3,
OR141564,Africa 3,
OR141565,Africa 3,
OR141566,Africa 3,
OR141567,Europe 3,
OR141568,Europe 3,
OR141569,Europe 3,
OR141570,Europe 3,
OR141571,Europe 3,
OR141572,Europe 3,
OR141573,Europe 2,
OR141574,Europe 2,
OR141575,Europe 2,
OR141576,Europe 2,
OR141577,Europe 2,
OR141578,Africa 3,
OR141579,Africa 3,
OR141580,Africa 3,
OR141581,Africa 3,
OR141582,Africa 3,
OR141583,Africa 3,
OR141584,Africa 3,
OR141585,Africa 3,
OR141586,Africa 3,
OR141587,Europe 3,
OR141588,Europe 3,
OR141589,Europe 3,
OR141590,Europe 3,
OR141591,Europe 3,
OR141592,Europe 3,
OR141593,Europe 3,
OR141594,Europe 3,
OR141595,Europe 3,
OR141596,Europe 2,
OR141597,Europe 2,
OR141598,Europe 2,
OR141599,Europe 2,
OR141600,Europe 3,
OR141601,Africa 3,
OR141602,Europe 3,
OR141603,Africa 3,
OR141604,Africa 3,
OR141605,Africa 3,
OR141606,Europe 3,
OR141607,Africa 3,
OR166135,Africa 3,
OR166136,Europe 3,
OR166137,Europe 3,
OR166138,Europe 3,
OR166139,Africa 3,
OR166140,Africa 3,
OR166141,Africa 3,
OR166142,Europe 3,
OR166143,Europe 3,
OR166144,Europe 3,
OR166145,Europe 3,
OR166146,Africa 3,
OR166147,Africa 3,
OR166148,Africa 3,
OR166149,Africa 3,
OR166150,Africa 3,
OR166151,Europe 3,
OR166152,Africa 3,
OR166153,Europe 3,
OR166154,Europe 3,
OR166155,Europe 3,
OR166156,Europe 3,
OR166157,Europe 3,
OR166158,Europe 3,
OR166159,Europe 3,
OR166160,Europe 3,
OR166161,Africa 3,
OR166162,Europe 3,
OR166163,Europe 3,
OR166164,Europe 3,
OR166165,Europe 3,
OR166166,Europe 3,
OR166167,Europe 3,
OR166168,Europe 3,
OR166169,Europe 3,
OU674388,Africa 3,Africa 3.1
KX816646,Europe 4,
KU573073,Europe 4,
KF882514,Europe 4,
KX555629,Europe 4,
JX473242,Europe 4,
KX816653,Europe 4,
KF801600,Europe 4,
KF801596,Europe 4,
JX473239,Europe 3,
JF331430,Europe 3,
AY453411,Europe 1,
JQ219843,Europe 1,
EF206350,Europe 1,
KX257038,Europe 1,
KX257031,Europe 1,
MF063051,Europe 1,
KX257037,Europe 1,
KX257045,Europe 1,
KX257034,Europe 1,
KX257029,Europe 1,
KX257033,Europe 1,
KX257030,Europe 1,
KX257036,Europe 1,
KX257044,Europe 1,
MF063052,Europe 1,
MK092901,Europe 2,Europe 2-A
MK092894,Europe 2,Europe 2-A
MK092895,Europe 2,Europe 2-A
MK092896,Europe 2,Europe 2-A
MK092897,Europe 2,Europe 2-A
MK092898,Europe 2,Europe 2-A
MK092899,Europe 2,Europe 2-A
MF063042,Europe 2,Europe 2-A
MF063044,Europe 2,Europe 2-A
MF063045,Europe 2,Europe 2-A
MF063046,Europe 2,Europe 2-A
MK121946,Europe 2,Europe 2-A
MK121947,Europe 2,Europe 2-A
MK121944,Europe 2,Europe 2-A
JF331432,Europe 2,Europe 2-A
JF331435,Europe 2,Europe 2-A
JF331436,Europe 2,Europe 2-A
JF331437,Europe 2,Europe 2-A
KX257052,Europe 2,Europe 2-A
KX555624,Europe 2,Europe 2-A
KX257050,Europe 2,Europe 2-A
KU573071,Europe 2,Europe 2-A
KU573072,Europe 2,Europe 2-A
JF266698,Europe 2,Europe 2-A
PQ039613,Africa 3,
PQ039614,Africa 3,
PQ039615,Africa 3,
PQ039616,Africa 3,
PQ039617,Africa 3,
PQ039618,Africa 3,
PQ039619,Africa 3,
PQ039620,Africa 3,
PQ039621,Africa 2,
PQ039622,Africa 2,
PQ039623,Africa 3,
PQ039624,Africa 2,
PQ039625,Africa 2,
PQ039626,Africa 2,
PQ039627,Africa 2,
PQ039628,Africa 2,
PQ039629,Africa 2,
PQ039630,Africa 2,
PQ039631,Africa 2,
PQ039632,Africa 2,
PQ039633,Africa 2,
PQ039634,Africa 2,
PQ039635,Africa 2,
PQ039636,Africa 2,
PQ039637,Africa 2,
PQ039638,Africa 2,
PQ039639,Africa 2,
PQ039640,Africa 2,
PQ039641,Africa 2,
PQ039642,Africa 2,
PQ039643,Africa 2,
PQ039644,Africa 2,
PQ039645,Africa 2,
PQ039646,Africa 2,
MW001216,Africa 3,Africa 3.2
OM202464,Africa 3,Africa 3.2
KC754958,Africa 1,
