sequence_accession,sequence_isolate,sequence_completeness,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,collection_subdiv2name,collection_subdiv2code,collection_subdiv2lat,collection_subdiv2long,date_ymd,date_dec,date_ym,date_y,tipnames,date_tipdate,host_class,host_order,host_family,host_sciname,host_commonname,date_parsed,collection_tipcode,sequence_start,sequence_end,sequence_length,sequence_generegion
NA,USUV-4997/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,nouvelle-aquitaine,fr.ac,45.1919179875327,0.197671288105137,vienne,fr.vn,46.5639620285522,0.460368340214446,2018-07-24,2018.55890410959,2018-07,2018,USUV-4997/France/2018|turdus_merula|fr_vn|2018-07-24,2018-07-24,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-07-24,fr_vn,8969,9274,305,NS5a
NA,USUV-5102/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,nouvelle-aquitaine,fr.ac,45.1919179875327,0.197671288105137,vienne,fr.vn,46.5639620285522,0.460368340214446,2018-08-03,2018.58630136986,2018-08,2018,USUV-5102/France/2018|turdus_merula|fr_vn|2018-08-03,2018-08-03,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-08-03,fr_vn,8969,9274,305,NS5a
NA,USUV-5114/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,pays de la loire,fr.pl,47.474290671413,-0.823875550947651,loire-atlantique,fr.la,47.3614216931763,-1.68071694874032,2018-08-06,2018.59452054795,2018-08,2018,USUV-5114/France/2018|turdus_merula|fr_la|2018-08-06,2018-08-06,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-08-06,fr_la,8969,9274,305,NS5a
NA,USUV-5278/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,pays de la loire,fr.pl,47.474290671413,-0.823875550947651,mayenne,fr.my,48.1466953049625,-0.658120607895488,2018-07-30,2018.57534246575,2018-07,2018,USUV-5278/France/2018|strix_nebulosa|fr_my|2018-07-30,2018-07-30,aves,strigiformes,strigidae,strix nebulosa,great grey owl,2018-07-30,fr_my,8998,9274,276,NS5a
NA,USUV-5279/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,pays de la loire,fr.pl,47.474290671413,-0.823875550947651,mayenne,fr.my,48.1466953049625,-0.658120607895488,2018-08-01,2018.58082191781,2018-08,2018,USUV-5279/France/2018|strix_nebulosa|fr_my|2018-08-01,2018-08-01,aves,strigiformes,strigidae,strix nebulosa,great grey owl,2018-08-01,fr_my,8969,9274,305,NS5a
NA,USUV-5326/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,nouvelle-aquitaine,fr.ac,45.1919179875327,0.197671288105137,deux-sèvres,fr.ds,46.5554568399301,-0.317193480110983,2018-08-09,2018.60273972603,2018-08,2018,USUV-5326/France/2018|turdus_merula|fr_ds|2018-08-09,2018-08-09,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-08-09,fr_ds,8969,9274,305,NS5a
NA,USUV-5356/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,île-de-france,fr.if,48.7090354165318,2.5047814681706,paris,fr.vp,48.8566456585096,2.34233846296863,2018-08-16,2018.62191780822,2018-08,2018,USUV-5356/France/2018|turdus_merula|fr_vp|2018-08-16,2018-08-16,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-08-16,fr_vp,8969,9274,305,NS5a
NA,USUV-5432/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,bretagne,fr.bt,48.1809640203121,-2.84316283208676,ille-et-vilaine,fr.iv,48.1556079168086,-1.63886825062734,2018-08-13,2018.61369863014,2018-08,2018,USUV-5432/France/2018|turdus_merula|fr_iv|2018-08-13,2018-08-13,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-08-13,fr_iv,9143,9274,131,NS5b
NA,USUV-5442/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,grand est,fr.ao,48.6891244210794,5.61945027345468,moselle,fr.mo,49.037271580446,6.66310853802115,2018-08-21,2018.63561643836,2018-08,2018,USUV-5442/France/2018|tetrao_urogallus|fr_mo|2018-08-21,2018-08-21,aves,galliformes,phasianidae,tetrao urogallus,western capercaillie,2018-08-21,fr_mo,8969,9274,305,NS5a
NA,USUV-5453/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,nouvelle-aquitaine,fr.ac,45.1919179875327,0.197671288105137,vienne,fr.vn,46.5639620285522,0.460368340214446,2018-08-20,2018.63287671233,2018-08,2018,USUV-5453/France/2018|turdus_merula|fr_vn|2018-08-20,2018-08-20,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-08-20,fr_vn,8969,9274,305,NS5a
NA,USUV-5490/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,grand est,fr.ao,48.6891244210794,5.61945027345468,moselle,fr.mo,49.037271580446,6.66310853802115,2018-08-07,2018.59726027397,2018-08,2018,USUV-5490/France/2018|strix_nebulosa|fr_mo|2018-08-07,2018-08-07,aves,strigiformes,strigidae,strix nebulosa,great grey owl,2018-08-07,fr_mo,8969,9274,305,NS5a
NA,USUV-5525/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,centre-val de loire,fr.cn,47.4804760317939,1.68531193534048,indre,fr.in,46.777802251863,1.57596419143742,2018-08-20,2018.63287671233,2018-08,2018,USUV-5525/France/2018|turdus_merula|fr_in|2018-08-20,2018-08-20,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-08-20,fr_in,8969,9274,305,NS5a
NA,USUV-5533/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,normandie,fr.nd,49.1207774760085,0.103954251480573,eure,fr.eu,49.113557707715,0.996036062663162,2018-08-22,2018.63835616438,2018-08,2018,USUV-5533/France/2018|strix_nebulosa|fr_eu|2018-08-22,2018-08-22,aves,strigiformes,strigidae,strix nebulosa,great grey owl,2018-08-22,fr_eu,8969,9274,305,NS5a
NA,USUV-5612/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,centre-val de loire,fr.cn,47.4804760317939,1.68531193534048,indre,fr.in,46.777802251863,1.57596419143742,2018-08-25,2018.64657534247,2018-08,2018,USUV-5612/France/2018|erithacus_rubecula|fr_in|2018-08-25,2018-08-25,aves,passeriformes,muscicapidae,erithacus rubecula,european robin,2018-08-25,fr_in,8969,9274,305,NS5a
NA,USUV-5615/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,nouvelle-aquitaine,fr.ac,45.1919179875327,0.197671288105137,vienne,fr.vn,46.5639620285522,0.460368340214446,2018-08-26,2018.64931506849,2018-08,2018,USUV-5615/France/2018|strix_nebulosa|fr_vn|2018-08-26,2018-08-26,aves,strigiformes,strigidae,strix nebulosa,great grey owl,2018-08-26,fr_vn,8969,9274,305,NS5a
NA,USUV-5700/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,centre-val de loire,fr.cn,47.4804760317939,1.68531193534048,loir-et-cher,fr.lc,47.6165720669948,1.4295323778329,2018-08-23,2018.64109589041,2018-08,2018,USUV-5700/France/2018|strix_nebulosa|fr_lc|2018-08-23,2018-08-23,aves,strigiformes,strigidae,strix nebulosa,great grey owl,2018-08-23,fr_lc,8969,9274,305,NS5a
NA,USUV-5701/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,bourgogne-franche-comté,fr.bf,47.2350842230609,4.80924796225072,yonne,fr.yo,47.839815781934,3.56434961600001,2018-08-24,2018.64383561644,2018-08,2018,USUV-5701/France/2018|turdus_merula|fr_yo|2018-08-24,2018-08-24,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-08-24,fr_yo,8969,9274,305,NS5a
NA,USUV-5917/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,grand est,fr.ao,48.6891244210794,5.61945027345468,bas-rhin,fr.br,48.6707149204577,7.55134880943968,2018-09-03,2018.67123287671,2018-09,2018,USUV-5917/France/2018|strix_nebulosa|fr_br|2018-09-03,2018-09-03,aves,strigiformes,strigidae,strix nebulosa,great grey owl,2018-09-03,fr_br,8969,9274,305,NS5a
NA,USUV-5925/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,nouvelle-aquitaine,fr.ac,45.1919179875327,0.197671288105137,gironde,fr.gi,44.8231487591693,-0.574951926225542,2018-09-02,2018.66849315068,2018-09,2018,USUV-5925/France/2018|turdus_merula|fr_gi|2018-09-02,2018-09-02,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-09-02,fr_gi,8969,9274,305,NS5a
NA,USUV-5930/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,nouvelle-aquitaine,fr.ac,45.1919179875327,0.197671288105137,gironde,fr.gi,44.8231487591693,-0.574951926225542,2018-08-23,2018.64109589041,2018-08,2018,USUV-5930/France/2018|turdus_merula|fr_gi|2018-08-23,2018-08-23,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-08-23,fr_gi,8969,9274,305,NS5a
NA,USUV-5932/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,occitanie,fr.lp,43.7028957316864,2.13543482835379,gard,fr.ga,43.993415444132,4.18016332027151,2018-09-02,2018.66849315068,2018-09,2018,USUV-5932/France/2018|turdus_merula|fr_ga|2018-09-02,2018-09-02,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-09-02,fr_ga,8969,9274,305,NS5a
NA,USUV-5957/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,centre-val de loire,fr.cn,47.4804760317939,1.68531193534048,indre,fr.in,46.777802251863,1.57596419143742,2018-08-31,2018.66301369863,2018-08,2018,USUV-5957/France/2018|turdus_merula|fr_in|2018-08-31,2018-08-31,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-08-31,fr_in,8969,9274,305,NS5a
NA,USUV-6000/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,grand est,fr.ao,48.6891244210794,5.61945027345468,moselle,fr.mo,49.037271580446,6.66310853802115,2018-08-31,2018.66301369863,2018-08,2018,USUV-6000/France/2018|turdus_merula|fr_mo|2018-08-31,2018-08-31,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-08-31,fr_mo,8969,9274,305,NS5a
NA,USUV-6001/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,grand est,fr.ao,48.6891244210794,5.61945027345468,moselle,fr.mo,49.037271580446,6.66310853802115,2018-09-04,2018.67397260274,2018-09,2018,USUV-6001/France/2018|turdus_merula|fr_mo|2018-09-04,2018-09-04,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-09-04,fr_mo,8969,9274,305,NS5a
NA,USUV-6012/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,pays de la loire,fr.pl,47.474290671413,-0.823875550947651,sarthe,fr.st,47.9943415130628,0.222187121625871,2018-08-27,2018.65205479452,2018-08,2018,USUV-6012/France/2018|turdus_merula|fr_st|2018-08-27,2018-08-27,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-08-27,fr_st,9009,9274,265,NS5b
NA,USUV-6041/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,bretagne,fr.bt,48.1809640203121,-2.84316283208676,morbihan,fr.mb,47.8459036105034,-2.81068958058949,2018-08-30,2018.6602739726,2018-08,2018,USUV-6041/France/2018|turdus_merula|fr_mb|2018-08-30,2018-08-30,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-08-30,fr_mb,8969,9274,305,NS5a
NA,USUV-6042/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,bretagne,fr.bt,48.1809640203121,-2.84316283208676,morbihan,fr.mb,47.8459036105034,-2.81068958058949,2018-09-02,2018.66849315068,2018-09,2018,USUV-6042/France/2018|turdus_merula|fr_mb|2018-09-02,2018-09-02,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-09-02,fr_mb,8969,9274,305,NS5a
NA,USUV-6043/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,bretagne,fr.bt,48.1809640203121,-2.84316283208676,morbihan,fr.mb,47.8459036105034,-2.81068958058949,2018-09-04,2018.67397260274,2018-09,2018,USUV-6043/France/2018|turdus_merula|fr_mb|2018-09-04,2018-09-04,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-09-04,fr_mb,8969,9274,305,NS5a
NA,USUV-6044/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,bretagne,fr.bt,48.1809640203121,-2.84316283208676,morbihan,fr.mb,47.8459036105034,-2.81068958058949,2018-09-05,2018.67671232877,2018-09,2018,USUV-6044/France/2018|turdus_merula|fr_mb|2018-09-05,2018-09-05,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-09-05,fr_mb,8969,9274,305,NS5a
NA,USUV-6045/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,bretagne,fr.bt,48.1809640203121,-2.84316283208676,morbihan,fr.mb,47.8459036105034,-2.81068958058949,2018-09-05,2018.67671232877,2018-09,2018,USUV-6045/France/2018|turdus_merula|fr_mb|2018-09-05,2018-09-05,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-09-05,fr_mb,8969,9274,305,NS5a
NA,USUV-6046/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,centre-val de loire,fr.cn,47.4804760317939,1.68531193534048,indre-et-loire,fr.il,47.258022199668,0.69147180455423,2018-09-06,2018.67945205479,2018-09,2018,USUV-6046/France/2018|turdus_merula|fr_il|2018-09-06,2018-09-06,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-09-06,fr_il,8969,9274,305,NS5a
NA,USUV-6056/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,bourgogne-franche-comté,fr.bf,47.2350842230609,4.80924796225072,nièvre,fr.ni,47.1152768970464,3.5047278498002,2018-09-05,2018.67671232877,2018-09,2018,USUV-6056/France/2018|turdus_merula|fr_ni|2018-09-05,2018-09-05,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-09-05,fr_ni,8969,9154,185,NS5a
NA,USUV-6159/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,hauts-de-france,fr.nc,49.9664542920368,2.77424482433678,pas-de-calais,fr.pc,50.4942770291578,2.28764715110612,2018-08-28,2018.65479452055,2018-08,2018,USUV-6159/France/2018|turdus_merula|fr_pc|2018-08-28,2018-08-28,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-08-28,fr_pc,8969,9274,305,NS5a
NA,USUV-6236/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,bourgogne-franche-comté,fr.bf,47.2350842230609,4.80924796225072,saône-et-loire,fr.sl,46.6447348263681,4.54230749229941,2018-09-10,2018.6904109589,2018-09,2018,USUV-6236/France/2018|turdus_merula|fr_sl|2018-09-10,2018-09-10,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-09-10,fr_sl,8969,9274,305,NS5a
NA,USUV-6510/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,rhône,fr.rh,45.8703314914795,4.64141155225127,2018-09-15,2018.70410958904,2018-09,2018,USUV-6510/France/2018|turdus_merula|fr_rh|2018-09-15,2018-09-15,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-09-15,fr_rh,8969,9274,305,NS5a
NA,USUV-6567/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,rhône,fr.rh,45.8703314914795,4.64141155225127,2018-09-20,2018.71780821918,2018-09,2018,USUV-6567/France/2018|turdus_merula|fr_rh|2018-09-20,2018-09-20,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-09-20,fr_rh,8969,9274,305,NS5a
NA,USUV-6568/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,île-de-france,fr.if,48.7090354165318,2.5047814681706,yvelines,fr.yv,48.8149495062942,1.8415961576235,2018-09-24,2018.72876712329,2018-09,2018,USUV-6568/France/2018|strix_nebulosa|fr_yv|2018-09-24,2018-09-24,aves,strigiformes,strigidae,strix nebulosa,great grey owl,2018-09-24,fr_yv,8969,9274,305,NS5a
NA,USUV-6569/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,île-de-france,fr.if,48.7090354165318,2.5047814681706,yvelines,fr.yv,48.8149495062942,1.8415961576235,2018-09-24,2018.72876712329,2018-09,2018,USUV-6569/France/2018|strix_nebulosa|fr_yv|2018-09-24,2018-09-24,aves,strigiformes,strigidae,strix nebulosa,great grey owl,2018-09-24,fr_yv,8969,9274,305,NS5a
NA,USUV-6737/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,occitanie,fr.lp,43.7028957316864,2.13543482835379,tarn,fr.ta,43.7853919635486,2.16623951111886,2018-09-27,2018.73698630137,2018-09,2018,USUV-6737/France/2018|turdus_merula|fr_ta|2018-09-27,2018-09-27,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-09-27,fr_ta,8969,9274,305,NS5a
NA,USUV-6804/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,occitanie,fr.lp,43.7028957316864,2.13543482835379,gard,fr.ga,43.993415444132,4.18016332027151,2018-09-16,2018.70684931507,2018-09,2018,USUV-6804/France/2018|turdus_merula|fr_ga|2018-09-16,2018-09-16,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-09-16,fr_ga,8969,9274,305,NS5a
NA,USUV-6806/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,occitanie,fr.lp,43.7028957316864,2.13543482835379,gard,fr.ga,43.993415444132,4.18016332027151,2018-10-01,2018.74794520548,2018-10,2018,USUV-6806/France/2018|turdus_merula|fr_ga|2018-10-01,2018-10-01,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-10-01,fr_ga,8969,9274,305,NS5a
