Accession,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject
PV235993,,"Muenger,E., Atama,N., Van Irsel,J., Blom,R., Krol,L., Van Den Berg,T.J., Braks,M., De Vries,A., Van Der Linden,A., Chestakova,I., Boter,M., Chandler,F.D., Kohl,R., Nieuwenhuijse,D.F., Uiterwijk,M., Fouchier,R.A.M., Sprong,H., Groene,A., Koenraadt,C.J.M., Schrama,M., Reusken,C.B.E.M., Stroo,A., Van Den Brand,J.M.A., Van Der Jeugd,H.P., Oude Munnink,B.B., Sikkema,R.S., Koopmans,M.P.G.","Erasmus Mc Rotterdam, Viroscience",Netherlands,2025-03-24,USUV/NL/2019/CMV442,Orthoflavivirus usutuense,9814,partial,Netherlands: Dreumel,Netherlands,Culex,pooled insects,2019-08-22,,
PV235994,,"Muenger,E., Atama,N., Van Irsel,J., Blom,R., Krol,L., Van Den Berg,T.J., Braks,M., De Vries,A., Van Der Linden,A., Chestakova,I., Boter,M., Chandler,F.D., Kohl,R., Nieuwenhuijse,D.F., Uiterwijk,M., Fouchier,R.A.M., Sprong,H., Groene,A., Koenraadt,C.J.M., Schrama,M., Reusken,C.B.E.M., Stroo,A., Van Den Brand,J.M.A., Van Der Jeugd,H.P., Oude Munnink,B.B., Sikkema,R.S., Koopmans,M.P.G.","Erasmus Mc Rotterdam, Viroscience",Netherlands,2025-03-24,USUV/NL/2021/CMV2045,Orthoflavivirus usutuense,10686,partial,Netherlands: Winssen,Netherlands,Culex,pooled insects,2021-07-26,,
PV235995,,"Muenger,E., Atama,N., Van Irsel,J., Blom,R., Krol,L., Van Den Berg,T.J., Braks,M., De Vries,A., Van Der Linden,A., Chestakova,I., Boter,M., Chandler,F.D., Kohl,R., Nieuwenhuijse,D.F., Uiterwijk,M., Fouchier,R.A.M., Sprong,H., Groene,A., Koenraadt,C.J.M., Schrama,M., Reusken,C.B.E.M., Stroo,A., Van Den Brand,J.M.A., Van Der Jeugd,H.P., Oude Munnink,B.B., Sikkema,R.S., Koopmans,M.P.G.","Erasmus Mc Rotterdam, Viroscience",Netherlands,2025-03-24,USUV/NL/2022/CMV3308,Orthoflavivirus usutuense,10705,partial,Netherlands: Culemborg,Netherlands,Culex,pooled insects,2022-07-13,,
PV235996,,"Muenger,E., Atama,N., Van Irsel,J., Blom,R., Krol,L., Van Den Berg,T.J., Braks,M., De Vries,A., Van Der Linden,A., Chestakova,I., Boter,M., Chandler,F.D., Kohl,R., Nieuwenhuijse,D.F., Uiterwijk,M., Fouchier,R.A.M., Sprong,H., Groene,A., Koenraadt,C.J.M., Schrama,M., Reusken,C.B.E.M., Stroo,A., Van Den Brand,J.M.A., Van Der Jeugd,H.P., Oude Munnink,B.B., Sikkema,R.S., Koopmans,M.P.G.","Erasmus Mc Rotterdam, Viroscience",Netherlands,2025-03-24,USUV/NL/2022/CMV3394,Orthoflavivirus usutuense,10705,partial,Netherlands: Nijmegen,Netherlands,Culex,pooled insects,2022-07-26,,
PV207916,,"Bes,M., Sauleda,S., Piron,M., Cadar,D.","Banc de Sang i Teixits (BST), Transfusion Safety Laboratory",,2025-03-19,WNV0001,Orthoflavivirus usutuense,10715,complete,Spain,Spain,Homo sapiens,blood,2024-09-09,,
PQ870991,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2025-02-26,373_2024_USUV_HU,Orthoflavivirus usutuense,402,partial,Hungary,Hungary,Culex,,2024,,
PQ870992,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2025-02-26,406_2024_USUV_HU,Orthoflavivirus usutuense,402,partial,Hungary,Hungary,Culex,,2024,,
PQ870993,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2025-02-26,416_2024_USUV_HU,Orthoflavivirus usutuense,402,partial,Hungary,Hungary,Culex,,2024,,
PV156649,,"Sharma,A.A., Neira,M., Martinou,A.F., Cadar,D., Omirou,M., Christophides,G.K.","Imperial College London, Life Sciences",United Kingdom,2025-02-26,Cyprus_2022,Orthoflavivirus usutuense,1134,partial,Cyprus: Limassol,Cyprus,Culex pipiens,,2022-03-03,,
PQ772639,,"Nagy,A., Deezsi-Magyar,N., Szabo,B.G.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2025-02-11,USUV-HUN-SM2024,Orthoflavivirus usutuense,10988,complete,Hungary,Hungary,Homo sapiens,brain,2024-11-11,,
